"snapshot_date","section","metric_key","metric_label","value","goal","threshold","unit","show_on_dashboard","sort_order","icon","sub","team","team_member","source"
"2026-05-16","financial","overdue_ar","Overdue A/R (30 Days)","2000","0","3000","currency","Y","1","fa-file-invoice-dollar","We're managing our cashflow and payments.","Operations","Operations","Quickbooks"
"2026-05-16","mission","event_participation","Event Participation","1060","2000","750","number","Y","1","fa-users","Our facility is welcoming community members beyond the gallery.","Operations","Kristie","SalesForce"
"2026-05-16","mission","offsite_participation","Offsite Participation","-28.57","12%","0%","percent","Y","3","fa-bus","We're growing our educational reach.","Education","Partnerships","Programs Sheet"
"2026-05-16","mission","gallery_visitors","Gallery Visitors","1508","2000","1000","number","Y","4","fa-person-walking","Our gallery is a place the community frequents.","Public Engagement","Products","Veevart"
"2026-05-16","sustainability","facebook_views","Facebook Views","16600","18000","10000","number","Y","2","fa-eye","We're engaging with followers on our largest platform.","Public Engagement","Products","Meta"
"2026-05-16","sustainability","memberships","Memberships","1722","1800","1700","number","Y","3","fa-id-card","We're growing new and renewing comm memberships.","Public Engagement","Community","Veevart"
"2026-05-23","financial","overdue_ar","Overdue A/R (30 Days)","2000","0","3000","currency","Y","1","fa-file-invoice-dollar","We're managing our cashflow and payments.","Operations","Operations","Quickbooks"
"2026-05-23","mission","event_participation","Event Participation","990","2000","750","number","Y","1","fa-users","Our facility is welcoming community members beyond the gallery.","Operations","Kristie","SalesForce"
"2026-05-23","mission","offsite_participation","Offsite Participation","-32.23","12%","0%","percent","Y","3","fa-bus","We're growing our educational reach.","Education","Partnerships","Programs Sheet"
"2026-05-23","mission","gallery_visitors","Gallery Visitors","1779","2000","1000","number","Y","4","fa-person-walking","Our gallery is a place the community frequents.","Public Engagement","Products","Veevart"
"2026-05-23","sustainability","facebook_views","Facebook Views","9400","18000","10000","number","Y","2","fa-eye","We're engaging with followers on our largest platform.","Public Engagement","Products","Meta"
"2026-05-23","sustainability","memberships","Memberships","1750","1800","1700","number","Y","3","fa-id-card","We're growing new and renewing comm memberships.","Public Engagement","Community","Veevart"
"2026-05-30","financial","overdue_ar","Overdue A/R (30 Days)","6080","0","3000","currency","Y","1","fa-file-invoice-dollar","We're managing our cashflow and payments.","Operations","Operations","Quickbooks"
"2026-05-30","mission","event_participation","Event Participation","1040","2000","750","number","Y","1","fa-users","Our facility is welcoming community members beyond the gallery.","Operations","Kristie","SalesForce"
"2026-05-30","mission","offsite_participation","Offsite Participation","-40","12%","0%","percent","Y","3","fa-bus","We're growing our educational reach.","Education","Partnerships","Programs Sheet"
"2026-05-30","mission","gallery_visitors","Gallery Visitors","1050","2000","1000","number","Y","4","fa-person-walking","Our gallery is a place the community frequents.","Public Engagement","Products","Veevart"
"2026-05-30","sustainability","facebook_views","Facebook Views","15600","18000","10000","number","Y","2","fa-eye","We're engaging with followers on our largest platform.","Public Engagement","Products","Meta"
"2026-05-30","sustainability","memberships","Memberships","1665","1800","1700","number","Y","3","fa-id-card","We're growing new and renewing comm memberships.","Public Engagement","Community","Veevart"
"2026-06-06","financial","overdue_ar","Overdue A/R (30 Days)","7028.64","0","3000","currency","Y","1","fa-file-invoice-dollar","We're managing our cashflow and payments.","Operations","Operations","Quickbooks"
"2026-06-06","mission","event_participation","Event Participation","1925","2000","750","number","Y","1","fa-users","Our facility is welcoming community members beyond the gallery.","Operations","Kristie","SalesForce"
"2026-06-06","mission","offsite_participation","Offsite Participation","-22","12%","0%","percent","Y","3","fa-bus","We're growing our educational reach.","Education","Partnerships","Programs Sheet"
"2026-06-06","mission","gallery_visitors","Gallery Visitors","900","2000","1000","number","Y","4","fa-person-walking","Our gallery is a place the community frequents.","Public Engagement","Products","Veevart"
"2026-06-06","sustainability","facebook_views","Facebook Views","10000","18000","10000","number","Y","2","fa-eye","We're engaging with followers on our largest platform.","Public Engagement","Products","Meta"
"2026-06-06","sustainability","memberships","Memberships","1696","1800","1700","number","Y","3","fa-id-card","We're growing new and renewing comm memberships.","Public Engagement","Community","Veevart"
"2026-06-13","financial","overdue_ar","Overdue A/R (30 Days)","2948.64","0","3000","currency","Y","1","fa-file-invoice-dollar","We're managing our cashflow and payments.","Operations","Operations","Quickbooks"
"2026-06-13","mission","event_participation","Event Participation","3586","2000","750","number","Y","1","fa-users","Our facility is welcoming community members beyond the gallery.","Operations","Kristie","SalesForce"
"2026-06-13","mission","offsite_participation","Offsite Participation","16","12%","0%","percent","Y","3","fa-bus","We're growing our educational reach.","Education","Partnerships","Programs Sheet"
"2026-06-13","mission","gallery_visitors","Gallery Visitors","1399","2000","1000","number","Y","4","fa-person-walking","Our gallery is a place the community frequents.","Public Engagement","Products","Veevart"
"2026-06-13","sustainability","facebook_views","Facebook Views","11400","18000","10000","number","Y","2","fa-eye","We're engaging with followers on our largest platform.","Public Engagement","Products","Meta"
"2026-06-13","sustainability","memberships","Memberships","1732","1800","1700","number","Y","3","fa-id-card","We're growing new and renewing comm memberships.","Public Engagement","Community","Veevart"
"2026-06-20","financial","overdue_ar","Overdue A/R (30 Days)","2948.64","0","3000","currency","Y","1","fa-file-invoice-dollar","We're managing our cashflow and payments.","Operations","Operations","Quickbooks"
"2026-06-20","mission","event_participation","Event Participation","3063","2000","750","number","Y","1","fa-users","Our facility is welcoming community members beyond the gallery.","Operations","Kristie","SalesForce"
"2026-06-20","mission","offsite_participation","Offsite Participation","23","12%","0%","percent","Y","3","fa-bus","We're growing our educational reach.","Education","Partnerships","Programs Sheet"
"2026-06-20","mission","gallery_visitors","Gallery Visitors","1530","2000","1000","number","Y","4","fa-person-walking","Our gallery is a place the community frequents.","Public Engagement","Products","Veevart"
"2026-06-20","sustainability","facebook_views","Facebook Views","9800","18000","10000","number","Y","2","fa-eye","We're engaging with followers on our largest platform.","Public Engagement","Products","Meta"
"2026-06-20","sustainability","memberships","Memberships","1761","1800","1700","number","Y","3","fa-id-card","We're growing new and renewing comm memberships.","Public Engagement","Community","Veevart"
"2026-06-27","financial","overdue_ar","Overdue A/R (30 Days)","7094","0","3000","currency","Y","1","fa-file-invoice-dollar","We're managing our cashflow and payments.","Operations","Operations","Quickbooks"
"2026-06-27","mission","event_participation","Event Participation","2235","2000","750","number","Y","1","fa-users","Our facility is welcoming community members beyond the gallery.","Operations","Kristie","SalesForce"
"2026-06-27","mission","offsite_participation","Offsite Participation","-59","12%","0%","percent","Y","3","fa-bus","We're growing our educational reach.","Education","Partnerships","Programs Sheet"
"2026-06-27","mission","gallery_visitors","Gallery Visitors","1438","2000","1000","number","Y","4","fa-person-walking","Our gallery is a place the community frequents.","Public Engagement","Products","Veevart"
"2026-06-27","sustainability","facebook_views","Facebook Views","16200","18000","10000","number","Y","2","fa-eye","We're engaging with followers on our largest platform.","Public Engagement","Products","Meta"
"2026-06-27","sustainability","memberships","Memberships","1794","1800","1700","number","Y","3","fa-id-card","We're growing new and renewing comm memberships.","Public Engagement","Community","Veevart"
"2026-07-04","financial","overdue_ar","Overdue A/R (30 Days)","2948.64","0","3000","currency","Y","1","fa-file-invoice-dollar","We're managing our cashflow and payments.","Operations","Operations","Quickbooks"
"2026-07-04","mission","event_participation","Event Participation","950","2000","750","number","Y","1","fa-users","Our facility is welcoming community members beyond the gallery.","Operations","Kristie","SalesForce"
"2026-07-04","mission","offsite_participation","Offsite Participation","-18","12%","0%","percent","Y","3","fa-bus","We're growing our educational reach.","Education","Partnerships","Programs Sheet"
"2026-07-04","mission","gallery_visitors","Gallery Visitors","1155","2000","1000","number","Y","4","fa-person-walking","Our gallery is a place the community frequents.","Public Engagement","Products","Veevart"
"2026-07-04","sustainability","facebook_views","Facebook Views","11400","18000","10000","number","Y","2","fa-eye","We're engaging with followers on our largest platform.","Public Engagement","Products","Meta"
"2026-07-04","sustainability","memberships","Memberships","1755","1800","1700","number","Y","3","fa-id-card","We're growing new and renewing comm memberships.","Public Engagement","Community","Veevart"
"2026-07-11","financial","overdue_ar","Overdue A/R (30 Days)","2948.64","0","3000","currency","Y","1","fa-file-invoice-dollar","We're managing our cashflow and payments.","Operations","Operations","Quickbooks"
"2026-07-11","mission","event_participation","Event Participation","900","2000","750","number","Y","1","fa-users","Our facility is welcoming community members beyond the gallery.","Operations","Kristie","SalesForce"
"2026-07-11","mission","offsite_participation","Offsite Participation","-41","12%","0%","percent","Y","3","fa-bus","We're growing our educational reach.","Education","Partnerships","Programs Sheet"
"2026-07-11","mission","gallery_visitors","Gallery Visitors","1799","2000","1000","number","Y","4","fa-person-walking","Our gallery is a place the community frequents.","Public Engagement","Products","Veevart"
"2026-07-11","sustainability","facebook_views","Facebook Views","7400","18000","10000","number","Y","2","fa-eye","We're engaging with followers on our largest platform.","Public Engagement","Products","Meta"
"2026-07-11","sustainability","memberships","Memberships","1758","1800","1700","number","Y","3","fa-id-card","We're growing new and renewing comm memberships.","Public Engagement","Community","Veevart"
"2026-07-18","financial","overdue_ar","Overdue A/R (30 Days)","2948.64","0","3000","currency","Y","1","fa-file-invoice-dollar","We're managing our cashflow and payments.","Operations","Operations","Quickbooks"
