Area,Team Member,Metric,Purpose,Source,Threshold,Goal,Week,Start Date,End Date,Value
Ops,Sherri,Overdue A/R (30 Days),We're managing our cashflow and receivables.,Quickbooks,"$ 3,000.00",$            -,Week 1,5/10,5/16,"$     2,000.00"
Ops,Sherri,Overdue A/R (30 Days),We're managing our cashflow and receivables.,Quickbooks,"$ 3,000.00",$            -,Week 2,5/17,5/23,"$     2,000.00"
Ops,Sherri,Overdue A/R (30 Days),We're managing our cashflow and receivables.,Quickbooks,"$ 3,000.00",$            -,Week 3,5/24,5/30,"$     6,080.00"
Ops,Sherri,Overdue A/R (30 Days),We're managing our cashflow and receivables.,Quickbooks,"$ 3,000.00",$            -,Week 4,5/31,6/6,"$     7,028.64"
Ops,Sherri,Overdue A/R (30 Days),We're managing our cashflow and receivables.,Quickbooks,"$ 3,000.00",$            -,Week 5,6/7,6/13,"$     2,948.64"
Ops,Sherri,Overdue A/R (30 Days),We're managing our cashflow and receivables.,Quickbooks,"$ 3,000.00",$            -,Week 6,6/14,6/20,"$     2,948.64"
Ops,Sherri,Overdue A/R (30 Days),We're managing our cashflow and receivables.,Quickbooks,"$ 3,000.00",$            -,Week 7,6/21,6/27,"$     7,094.00"
Ops,Sherri,Overdue A/R (30 Days),We're managing our cashflow and receivables.,Quickbooks,"$ 3,000.00",$            -,Week 8,6/28,7/4,"$     2,948.64"
Ops,Sherri,Overdue A/R (30 Days),We're managing our cashflow and receivables.,Quickbooks,"$ 3,000.00",$            -,Week 9,7/5,7/11,"$     2,948.64"
Ops,Sherri,Overdue A/R (30 Days),We're managing our cashflow and receivables.,Quickbooks,"$ 3,000.00",$            -,Week 10,7/12,7/18,"$     2,948.64"
Ops,Sherri,Overdue A/R (30 Days),We're managing our cashflow and receivables.,Quickbooks,"$ 3,000.00",$            -,Week 11,7/19,7/25,"$     2,948.64"
Ops,Sherri,Overdue A/R (30 Days),We're managing our cashflow and receivables.,Quickbooks,"$ 3,000.00",$            -,Week 12,7/26,8/1,"$     2,948.64"
Ops,Sherri,Overdue A/R (30 Days),We're managing our cashflow and receivables.,Quickbooks,"$ 3,000.00",$            -,Week 13,8/2,8/8,"$     2,000.00"
Ops,Sherri,Overdue A/R (30 Days),We're managing our cashflow and receivables.,Quickbooks,"$ 3,000.00",$            -,Week 14,8/9,8/15,"$    2,000.00"
Ops,Sherri,Overdue A/R (30 Days),We're managing our cashflow and receivables.,Quickbooks,"$ 3,000.00",$            -,Week 15,8/16,8/22,"$    2,000.00"
Ops,Sherri,Overdue A/R (30 Days),We're managing our cashflow and receivables.,Quickbooks,"$ 3,000.00",$            -,Week 16,8/23,8/29,"$    2,000.00"
Ops,Kristie,Facility Events,Our facility events are supporting our mission. (1mo),Outlook calendar,10,20,Week 1,5/10,5/16,12
Ops,Kristie,Facility Events,Our facility events are supporting our mission. (1mo),Outlook calendar,10,20,Week 2,5/17,5/23,9
Ops,Kristie,Facility Events,Our facility events are supporting our mission. (1mo),Outlook calendar,10,20,Week 3,5/24,5/30,10
Ops,Kristie,Facility Events,Our facility events are supporting our mission. (1mo),Outlook calendar,10,20,Week 4,5/31,6/6,13
Ops,Kristie,Facility Events,Our facility events are supporting our mission. (1mo),Outlook calendar,10,20,Week 5,6/7,6/13,16
Ops,Kristie,Facility Events,Our facility events are supporting our mission. (1mo),Outlook calendar,10,20,Week 6,6/14,6/20,12
Ops,Kristie,Facility Events,Our facility events are supporting our mission. (1mo),Outlook calendar,10,20,Week 7,6/21,6/27,11
Ops,Kristie,Facility Events,Our facility events are supporting our mission. (1mo),Outlook calendar,10,20,Week 8,6/28,7/4,6
Ops,Kristie,Facility Events,Our facility events are supporting our mission. (1mo),Outlook calendar,10,20,Week 9,7/5,7/11,5
Ops,Kristie,Facility Events,Our facility events are supporting our mission. (1mo),Outlook calendar,10,20,Week 10,7/12,7/18,7
Ops,Kristie,Facility Events,Our facility events are supporting our mission. (1mo),Outlook calendar,10,20,Week 11,7/19,7/25,9
Ops,Kristie,Facility Events,Our facility events are supporting our mission. (1mo),Outlook calendar,10,20,Week 12,7/26,8/1,8
Ops,Kristie,Facility Events,Our facility events are supporting our mission. (1mo),Outlook calendar,10,20,Week 13,8/2,8/8,8
Ops,Kristie,Facility Events,Our facility events are supporting our mission. (1mo),Outlook calendar,10,20,Week 14,8/9,8/15,9
