index_key,component_key,component_type,weight,direction,scoring_method,minimum,maximum,cap_at_100,active,sort_order,notes
overall_health_score,mission_index,index,33.33,higher,,0.0,100.0,Y,Y,1.0,Uses the calculated Mission Impact Index score.
overall_health_score,financial_index,index,33.33,higher,,0.0,100.0,Y,Y,2.0,Uses the calculated Financial Strength Index score.
overall_health_score,sustainability_index,index,33.34,higher,,0.0,100.0,Y,Y,3.0,Uses the calculated Sustainability Index score.
mission_index,students_impacted,metric,33.33,higher,,0.0,100.0,Y,Y,1.0,100 points when the goal is reached.
mission_index,population_reached,metric,33.33,higher,,0.0,101000.0,Y,Y,2.0,100 points when the goal is reached.
mission_index,schools_reached,metric,33.34,higher,,0.0,45.0,Y,Y,3.0,100 points when the goal is reached.
financial_index,earned_revenue_ratio,metric,33.33,higher,,0.0,50.0,Y,Y,1.0,100 points when the goal is reached.
financial_index,program_spending,metric,33.33,higher,,0.0,80.0,Y,Y,2.0,100 points when the goal is reached.
financial_index,revenue_diversity,metric,33.34,higher,,0.0,4.0,Y,Y,3.0,100 points when the goal is reached.
sustainability_index,non_local_participation,metric,33.33,higher,,0.0,55.0,Y,Y,1.0,100 points when the goal is reached.
sustainability_index,outreach_participation,metric,33.33,higher,,0.0,18.0,Y,Y,2.0,100 points when the goal is reached.
sustainability_index,strategic_partnerships,metric,33.34,higher,,0.0,12.0,Y,Y,3.0,100 points when the goal is reached.
